ID	Names	InChIKey
10432	2-Naftol|2-Naphthol|2-hydroxynaphthalene|2-naftolo|2-naphthalenol|2-naphthol|2-naphtol|Antioxygene BN|Azogen Developer A|C.I. Azoic Coupling Component 1|C.I. Developer 5|Developer A|Developer AMS|Developer BN|Isonaphthol|beta-Naftol|beta-Naphthol|beta-Naphtol|beta-hydroxynaphthalene|beta-naftolo|beta-naphthol|beta-naphthyl alcohol|beta-naphthyl hydroxide|naphthalen-2-ol	JWAZRIHNYRIHIV-UHFFFAOYSA-N
10440	(-)-beta-santalene|(1S,2R,4R)-2-methyl-3-methylidene-2-(4-methylpent-3-en-1-yl)bicyclo[2.2.1]heptane|(1S-exo)-2-methyl-3-methylene-2-(4-methyl-3-pentenyl)bicyclo[2.2.1]heptane|beta-Santalene	PGBNIHXXFQBCPU-ILXRZTDVSA-N
10443	(+)-beta-selinene|(4aR,7R,8aS)-4a-methyl-1-methylidene-7-(prop-1-en-2-yl)decahydronaphthalene|(4aR,7R,8aS)-7-isopropenyl-4a-methyl-1-methylenedecahydronaphthalene|[4aR-(4aalpha,7alpha,8abeta)]-decahydro-4a-methyl-1-methylene-7-(1-methylethenyl)-naphthalene|beta-Selinene|beta-eudesmene|eudesma-4(14),11-diene	YOVSPTNQHMDJAG-QLFBSQMISA-N
10545	Elektron|beta|beta(-)|beta-particle|e|e(-)|e-|electron|negatron	
10576	(1,3R,4S,5S,6R)-pentachlorocyclohexene|(3R,4S,5S,6R)-1,3,4,5,6-pentachlorocyclohexene|(3R,4S,5S,6R)-pentachlorocyclohexene|1,3(R),4(S),5(S),6(R)-PCCH|3(R),4(S),5(S),6(R)-PCCH	MQYAVRUCONBHOR-JSTMLOLSSA-N
10577	1,4-p-Menthadiene|1-Isopropyl-4-methyl-1,4-cyclohexadiene|1-Isopropyl-4-methylcyclohexa-1,4-diene|1-Methyl-4-(1-methylethyl)-1,4-cyclohexadiene|1-methyl-4-(propan-2-yl)cyclohexa-1,4-diene|1-methyl-4-propan-2-ylcyclohexa-1,4-diene|4-Isopropyl-1-methyl-1,4-cyclohexadiene|Crithmene|Moslene|gamma-Terpinene|gamma-terpinene|p-Mentha-1,4-diene	YKFLAYDHMOASIY-UHFFFAOYSA-N
10642	(1r,2r,3r,4r,5r,6r)-cyclohexane-1,2,3,4,5,6-hexol|1,3,5/2,4,6-cyclohexanehexol|Cocositol|Quercinitol|Scyllitol|scyllo-Inositol|scyllo-inositol	CDAISMWEOUEBRE-CDRYSYESSA-N
10702	(1R,2R)-1,2-dihydrobenzene-1,2-diol|(1R,2R)-cyclohexa-3,5-diene-1,2-diol|trans-1,2-Dihydrobenzene-1,2-diol	YDRSQRPHLBEPTP-PHDIDXHHSA-N
10782	(-)-Perillylalcohol|(4S)-perillyl alcohol|4-isopropenylcyclohex-1-en-1-ylmethanol|Perillyl alcohol|[(4S)-4-(prop-1-en-2-yl)cyclohex-1-en-1-yl]methanol|p-Mentha-1,8-dien-7-ol	NDTYTMIUWGWIMO-SNVBAGLBSA-N
10790	1-[(carbamoylamino)methyl]urea|N,N''-methanediyldiurea|N,N''-methylenebis(urea)|N,N''-methylenediurea|NH2-CO-NH-CH2-NH-CO-NH2|methylenediurea	KQVLODRFGIKJHZ-UHFFFAOYSA-N
10979	(3R)-3-{[(3R)-3-hydroxybutanoyl]oxy}butanoate|(3R)-hydroxybutanoate dimer|(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate	RILHUWWTCSDPAN-PHDIDXHHSA-N
10980	(2R)-2-hydroxy-3-(4-hydroxyphenyl)propanoate|(R)-3-(4-Hydroxyphenyl)lactate	JVGVDSSUAVXRDY-MRVPVSSYSA-N
10983	(3R)-3-hydroxybutanoate|(R)-(-)-beta-hydroxybutyrate|(R)-3-Hydroxybutanoate|(R)-3-hydroxybutanoate|3-D-hydroxybutyrate|D-3-hydroxybutyrate|D-beta-hydroxybutyrate	WHBMMWSBFZVSSR-GSVOUGTGSA-N
10986	(R)-4'-phosphopantothenate|3-[(2R)-2-hydroxy-3,3-dimethyl-4-(phosphonatooxy)butanamido]propanoate	XHFVGHPGDLDEQO-ZETCQYMHSA-N
11009	(2R)-2-hydroxy-3-phenylpropanoate|(R)-3-phenyllactate	VOXXWSYKYCBWHO-MRVPVSSYSA-N
11047	(3S)-3-hydroxybutanoate|(S)-3-Hydroxybutanoate|(S)-3-hydroxy-2-methylpropanoate|(S)-3-hydroxybutanoate|(S)-3HB|L-(+)-2-methylhydracrylate|S3HB	WHBMMWSBFZVSSR-VKHMYHEASA-N
11060	(+)-Carnitine|(3S)-3-hydroxy-4-(trimethylammonio)butanoate|(S)-Carnitine|(S)-carnitine|Carnitine D-form|D-(3-Carboxy-2-hydroxypropyl)trimethylammonium hydroxide, inner salt|D-Carnitine|d-Carnitine	PHIQHXFUZVPYII-LURJTMIESA-O
1107	2-Hexaprenyl-6-hydroxyphenol|3-(all-trans-hexaprenyl)benzene-1,2-diol|3-Hexaprenylcatechol|3-[(2E,6E,10E,14E,18E)-3,7,11,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaen-1-yl]benzene-1,2-diol	LXZAKEGPNJYZBT-LSRIWWPWSA-N
1109	2-Hexaprenyl-6-methoxyphenol|2-[(2E,6E,10E,14E,18E)-3,7,11,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaen-1-yl]-6-methoxyphenol|2-methoxy-6-(all-trans-hexaprenyl)phenol	WVPRAWNIVDFQBO-DUBIXASGSA-N
1110	2-Hexaprenylphenol|2-[(2E,6E,10E,14E,18E)-3,7,11,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaen-1-yl]phenol|2-all-trans-hexaprenylphenol	SWYAYSXDWCPYPJ-DUBIXASGSA-N
111503	[(1R,2R,3S,4S,5S)-5-azaniumyl-2,3,4-trihydroxycyclohexyl]methyl phosphate|validamine 7-phosphate	WTRFKFAOQHUCRP-UOYQFSTFSA-N
111504	[(1R,2R,3S,4S,5S)-2,3,4-trihydroxy-5-{[(1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-yl]azaniumyl}cyclohexyl]methyl phosphate|validoxylamine A 7'-phosphate	ZKSTYMJGEHZSFH-MBABXGOBSA-N
111505	(1S,4R,5S,6S)-4,5,6-trihydroxy-3-(hydroxymethyl)-N-[(1S,2S,3S,4R,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl]cyclohex-2-en-1-aminium|validoxylamine A	YCJYNBLLJHFIIW-MBABXGOBSA-N
111509	3,6-dideoxy-alpha-L-xylo-hexopyranosyl-(1->2)-beta-D-galactopyranosyl-(1->3)-2-acetamido-2-deoxy-D-glucopyranose|alpha-L-colitosyl-(1->2)-beta-D-galactosyl-(1->3)-N-acetyl-D-glucosamine	JSTYGXQNHFJXJZ-YUNPFAOVSA-N
11152	1,2-dicaprin|1,2-didecanoylglycerol|3-hydroxypropane-1,2-diyl didecanoate	GNSDEDOVXZDMKM-UHFFFAOYSA-N
111521	(4R,5S,6R)-4,5,6-trihydroxy-3-(hydroxymethyl)cyclohex-2-en-1-one|valienone	XLCGDLHGHMWUSW-UHFFFAOYSA-N
111522	[(4R,5S,6R)-4,5,6-trihydroxy-3-oxocyclohex-1-en-1-yl]methyl phosphate|valienone 7-phosphate	LGPXDEGPSUNNEP-UHFFFAOYSA-N
